id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,canker,nline,neline,eline,seline,sline,swline,wline,nwline,line_index,area_index,sname2,n_dbh,ne_dbh,e_dbh,se_dbh,s_dbh,sw_dbh,w_dbh,nw_dbh,sname3,dbh_count,cdbh_sum,cdbh_avg,dbh_ratio,sum_dbh_ratio1_sd,sum_dbh_ratio2_cd,ba_ratio,sum_ba_ratio,sdbh_x_avgcdbh
13,9,9,9,13,1,4,8.7,2013,U07m,83XAA04,4,34%,0.105,0.046,0.414,0,4,0,9.0,6.8,9.0,7.8,4.2,12.7,9.0,12.7,71.24,220.00,83XAA04,0,7.7,0,5.5,9.8,0,0,0,83XAA04,3,23.0,2.88,3.03,2.64,3.60,3.26,2.45,25.01
14,9,9,9,14,1,4,9.8,2013,U07m,83XAA04,4,32%,0.127,0.058,0.52,0,3,0,4.8,12.7,5.8,9.8,4.6,12.7,9.0,12.7,72.13,206.49,83XAA04,8.7,0,5.5,2.9,9.4,0,0,0,83XAA04,4,26.5,3.31,2.96,2.70,7.33,3.79,2.11,32.46
15,9,9,9,15,1,4,9.4,2013,U07m,83XAA04,4,21%,0.083,0.053,0.478,0,3,0,4.4,8.0,6.9,12.7,4.6,12.7,9.0,12.7,71.12,205.42,83XAA04,9.8,5.5,2.9,0,8.9,0,0,0,83XAA04,4,27.1,3.39,2.77,2.88,6.97,3.30,2.42,31.84
16,9,9,9,16,1,4,8.9,2013,U07m,83XAA04,4,26%,0.09,0.048,0.432,0,2,0,4.4,9.6,9.0,7.6,5.3,12.7,9.0,12.7,70.25,207.91,83XAA04,9.4,2.9,0,6.1,6.3,0,0,0,83XAA04,4,24.7,3.09,2.88,2.78,6.89,3.65,2.19,27.48
17,9,9,9,17,1,5,6.3,2013,U07m,81XAA04,5,20%,0.036,0.024,0.215,0,2,0,3.7,12.7,4.6,6.6,3.6,12.7,9.0,12.7,65.69,170.58,81XAA04,8.9,0,6.1,5.9,9.3,0,0,0,81XAA04,4,30.2,3.78,1.67,4.79,3.49,1.34,5.99,23.78
18,9,9,9,18,1,5,9.3,2013,U07m,81XAA04,5,26%,0.096,0.052,0.472,0,2,0,5.4,7.7,5.5,6.6,4.9,12.7,9.0,12.7,64.49,180.84,81XAA04,6.3,6.1,5.9,8.6,7.9,0,0,0,81XAA04,5,34.8,4.35,2.14,3.74,6.84,2.79,2.87,40.46
19,9,9,9,19,1,5,7.9,2013,U07m,81XAA04,5,24%,0.065,0.037,0.337,0,3,0,4.1,7.3,4.3,6.3,6.0,12.7,9.0,12.7,62.48,171.23,81XAA04,9.3,5.9,8.6,8,4,0,0,0,81XAA04,5,35.8,4.48,1.77,4.53,6.07,1.81,4.41,35.35
20,9,9,9,20,1,5,4,2013,U07m,81XAA04,5,17%,0.013,0.01,0.087,0,1,0,3.0,4.0,3.0,6.5,9.0,12.7,9.0,12.7,60.05,171.41,81XAA04,7.9,8.6,8,3.8,0,0,0,0,81XAA04,4,28.3,3.54,1.13,7.08,2.52,0.60,13.43,14.15
21,9,9,9,21,1,0,0,2013,U07m,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,4,8,3.8,0,0,0,0,0,0,3,15.8,1.98,0.00,0.00,0.00,0.00,0.00,0.00
22,9,9,9,1,2,1,9.4,2013,U07m,80XAA04,10,28%,0.106,0.054,0.482,0,1,0,9.0,12.7,4.6,6.7,5.2,9.5,5.6,12.7,66.16,187.05,80XAA04,0,0,8.9,8.4,6.8,3.2,5.6,0,80XAA04,5,32.9,4.11,2.29,3.50,8.17,2.97,2.69,38.66
23,9,9,9,2,2,1,6.8,2013,U07m,80XAA04,10,28%,0.056,0.028,0.252,0,1,0,3.8,5.5,4.0,6.5,4.6,5.8,6.1,7.0,43.36,81.66,80XAA04,9.4,8.9,8.4,6.6,6.4,8,3.2,5.6,80XAA04,8,56.5,7.06,0.96,8.31,8.58,0.86,9.26,48.03
24,9,9,9,3,2,1,6.4,2013,U07m,80XAA04,10,26%,0.046,0.025,0.223,0,1,0,4.4,5.5,4.4,5.3,6.1,7.8,4.0,8.5,46.00,89.87,80XAA04,6.8,8.4,6.6,9.1,3,4,8,3.2,80XAA04,8,49.1,6.14,1.04,7.67,9.91,0.96,8.36,39.28
25,9,9,9,4,2,1,3,2013,U07m,80XAA04,10,15%,0.006,0.005,0.049,0,1,0,2.9,4.0,2.2,4.2,2.5,4.3,3.9,3.5,27.45,32.15,80XAA04,6.4,6.6,9.1,6,8,5.8,4,8,80XAA04,8,53.9,6.74,0.45,17.97,3.77,0.19,42.33,20.21
26,9,9,9,5,2,1,8,2013,U07m,84XAA04,9,28%,0.076,0.039,0.347,0,4,0,6.5,6.0,5.1,9.0,5.1,7.8,5.2,8.5,53.33,121.35,84XAA04,3,9.1,6,3.3,6,5,5.8,4,84XAA04,8,42.2,5.28,1.52,5.28,13.62,2.05,3.90,42.20
27,9,9,9,6,2,1,6,2013,U07m,84XAA04,9,23%,0.037,0.022,0.196,0,1,0,3.9,6.4,5.8,6.9,3.9,5.2,4.9,6.5,43.49,81.98,84XAA04,8,6,3.3,5,7.7,8.7,5,5.8,84XAA04,8,49.5,6.19,0.97,8.25,8.47,0.87,9.15,37.13
28,9,9,9,7,2,1,7.7,2013,U07m,84XAA04,9,16%,0.044,0.036,0.327,0,3,0,5.1,8.9,5.5,7.3,5.6,12.7,4.2,7.7,56.94,130.97,84XAA04,6,3.3,5,5.8,4.7,0,8.7,5,84XAA04,7,38.5,4.81,1.60,5.00,10.55,2.08,3.85,37.06
29,9,9,9,8,2,1,4.7,2013,U07m,84XAA04,9,28%,0.027,0.014,0.122,0,2,0,3.4,6.2,4.0,4.3,4.6,12.7,9.0,4.5,48.75,110.43,84XAA04,7.7,5,5.8,9.2,4.4,0,0,8.7,84XAA04,6,40.8,5.10,0.92,8.68,4.48,0.59,13.47,23.97
30,9,9,9,9,2,4,4.4,2013,U07m,18XAG04,8,31%,0.026,0.012,0.107,0,2,0,4.4,5.5,2.9,6.0,3.8,12.7,9.0,12.7,57.04,146.12,18XAG04,4.7,5.8,9.2,4.9,6,0,0,0,18XAG04,5,30.6,3.83,1.15,6.95,3.80,0.77,10.35,16.83
31,9,9,9,10,2,4,6,2013,U07m,18XAG04,8,23%,0.037,0.022,0.196,0,1,0,5.2,5.0,5.0,12.7,3.8,12.7,9.0,12.7,66.16,178.91,18XAG04,4.4,9.2,4.9,0,8.2,0,0,0,18XAG04,4,26.7,3.34,1.80,4.45,3.97,1.48,5.42,20.03
32,9,9,9,11,2,4,8.2,2013,U07m,18XAG04,8,22%,0.066,0.041,0.367,0,2,0,5.2,8.0,9.0,5.7,4.6,12.7,9.0,12.7,66.96,192.77,18XAG04,6,4.9,0,10.1,7.7,0,0,0,18XAG04,4,28.7,3.59,2.29,3.50,4.92,2.43,3.29,29.42
33,9,9,9,12,2,4,7.7,2013,U07m,18XAG04,8,17%,0.046,0.036,0.325,0,2,0,4.4,12.7,3.9,6.6,9.0,6.0,9.0,12.7,64.31,165.46,18XAG04,8.2,0,10.1,7.1,0,8.7,0,0,18XAG04,4,34.1,4.26,1.81,4.43,3.67,1.61,4.98,32.82
34,9,9,9,13,2,4,0,2013,U07m,81XAA04,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,81XAA04,7.7,10.1,7.1,7.3,5.5,9.8,8.7,0,81XAA04,7,56.2,7.03,0.00,0.00,0.00,0.00,0.00,0.00
35,9,9,9,14,2,4,5.5,2013,U07m,81XAA04,7,43%,0.05,0.018,0.165,0,1,0,9.0,5.6,3.9,6.0,5.9,4.7,3.2,4.9,43.16,82.41,81XAA04,0,7.1,7.3,6.2,2.9,9.4,9.8,8.7,81XAA04,7,51.4,6.43,0.86,9.35,6.09,0.59,13.57,35.34
36,9,9,9,15,2,4,2.9,2013,U07m,81XAA04,7,7%,0.003,0.005,0.046,0,1,0,3.1,3.6,2.9,4.1,9.0,3.1,2.1,2.9,30.81,42.34,81XAA04,5.5,7.3,6.2,6.2,0,8.9,9.4,9.8,81XAA04,7,53.3,6.66,0.44,18.38,2.79,0.16,50.42,19.32
37,9,9,9,16,2,4,0,2013,U07m,81XAA04,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,81XAA04,2.9,6.2,6.2,7.5,6.1,6.3,8.9,9.4,81XAA04,8,53.5,6.69,0.00,0.00,0.00,0.00,0.00,0.00
38,9,9,9,17,2,5,6.1,2013,U07m,80XAA04,6,24%,0.039,0.023,0.204,0,2,0,9.0,6.3,4.0,6.2,4.6,5.0,4.4,5.2,44.73,88.47,80XAA04,0,6.2,7.5,6.5,5.9,9.3,6.3,8.9,80XAA04,7,50.6,6.33,0.96,8.30,6.08,0.79,10.14,38.58
39,9,9,9,18,2,5,5.9,2013,U07m,80XAA04,6,19%,0.031,0.021,0.19,0,1,0,4.4,5.6,4.3,6.9,3.7,5.4,3.5,6.2,39.95,67.60,80XAA04,6.1,7.5,6.5,5,8.6,7.9,9.3,6.3,80XAA04,8,57.2,7.15,0.83,9.69,6.85,0.66,12.16,42.19
40,9,9,9,19,2,5,8.6,2013,U07m,80XAA04,6,10%,0.038,0.045,0.402,0,5,0,5.3,7.2,5.7,6.8,4.7,8.7,4.7,6.1,49.28,103.72,80XAA04,5.9,6.5,5,7.4,8,4,7.9,9.3,80XAA04,8,54.0,6.75,1.27,6.28,10.90,1.53,5.22,58.05
41,9,9,9,20,2,5,8,2013,U07m,80XAA04,6,38%,0.097,0.039,0.349,0,1,0,4.3,7.8,4.7,6.1,6.1,12.7,6.0,6.4,54.14,125.91,80XAA04,8.6,5,7.4,8.8,3.8,0,4,7.9,80XAA04,7,45.5,5.69,1.41,5.69,9.64,1.58,5.06,45.50
42,9,9,9,21,2,0,3.8,2013,U07m,NM6,0,21%,0.014,0.009,0.077,0,2,0,2.9,4.3,2.7,12.7,9.0,12.7,9.0,6.2,59.59,168.37,NM6,8,7.4,8.8,0,0,0,0,4,NM6,4,28.2,3.53,1.08,7.42,2.37,0.54,14.70,13.40
43,9,9,9,1,3,1,8.9,2013,U07m,83XAA04,11,45%,0.134,0.048,0.433,0,4,0,9.0,12.7,9.0,8.5,4.6,7.2,4.4,12.7,68.20,205.22,83XAA04,0,0,0,4.4,8.4,6.8,9.4,0,83XAA04,4,29.0,3.63,2.46,3.26,5.34,2.82,2.83,32.26
44,9,9,9,2,3,1,8.4,2013,U07m,83XAA04,11,8%,0.028,0.043,0.387,0,3,0,4.4,12.7,5.9,12.7,5.0,7.2,5.0,6.0,58.98,140.92,83XAA04,8.9,0,4.4,0,6.6,6.4,6.8,9.4,83XAA04,6,42.5,5.31,1.58,5.06,7.57,1.78,4.50,44.63
45,9,9,9,3,3,1,6.6,2013,U07m,83XAA04,11,15%,0.032,0.027,0.24,0,2,0,4.0,7.6,9.0,12.7,3.8,8.8,4.6,6.3,56.70,137.26,83XAA04,8.4,4.4,0,0,9.1,3,6.4,6.8,83XAA04,6,38.1,4.76,1.39,5.77,7.21,1.30,6.17,31.43
46,9,9,9,4,3,1,9.1,2013,U07m,83XAA04,11,10%,0.042,0.05,0.448,0,3,0,5.2,12.7,9.0,7.5,5.4,6.8,6.8,7.5,60.90,163.19,83XAA04,6.6,0,0,6.3,6,8,3,6.4,83XAA04,6,36.3,4.54,2.01,3.99,9.93,2.84,2.82,41.29
47,9,9,9,5,3,1,6,2013,U07m,1XTE04,12,12%,0.021,0.022,0.194,0,3,0,3.6,12.7,4.4,6.6,5.8,6.4,3.9,8.5,51.79,103.63,1XTE04,9.1,0,6.3,5.6,3.3,6,8,3,1XTE04,7,41.3,5.16,1.16,6.88,8.25,1.05,7.60,30.98
48,9,9,9,6,3,1,3.3,2013,U07m,1XTE04,12,0%,0,0.007,0.059,0,1,0,3.2,4.4,3.3,6.1,3.6,3.8,3.2,3.7,31.30,42.52,1XTE04,6,6.3,5.6,3.6,5,7.7,6,8,1XTE04,8,48.2,6.03,0.55,14.61,4.63,0.29,27.94,19.88
49,9,9,9,7,3,1,5,2013,U07m,1XTE04,12,7%,0.009,0.015,0.136,0,2,0,5.4,6.0,5.2,5.5,4.2,6.6,3.5,5.8,42.20,77.07,1XTE04,3.3,5.6,3.6,6.6,5.8,4.7,7.7,6,1XTE04,8,43.3,5.41,0.92,8.66,7.96,0.80,9.99,27.06
50,9,9,9,8,3,1,5.8,2013,U07m,1XTE04,12,0%,0,0.02,0.184,0,2,0,4.8,7.9,4.2,9.7,3.5,7.2,5.0,5.5,47.77,92.10,1XTE04,5,3.6,6.6,1.8,9.2,4.4,4.7,7.7,1XTE04,8,43.0,5.38,1.08,7.41,10.81,1.00,8.03,31.18
51,9,9,9,9,3,4,9.2,2013,U07m,80XAA04,13,12%,0.049,0.051,0.457,0,3,0,5.5,7.4,7.5,9.8,5.9,7.7,6.1,8.4,58.39,147.96,80XAA04,5.8,6.6,1.8,2.7,4.9,6,4.4,4.7,80XAA04,8,36.9,4.61,1.99,4.01,18.96,3.58,2.24,42.44
52,9,9,9,10,3,4,4.9,2013,U07m,80XAA04,13,13%,0.016,0.015,0.131,0,1,0,3.1,9.3,5.8,12.7,9.0,4.8,4.0,6.7,55.48,134.97,80XAA04,9.2,1.8,2.7,0,0,8.2,6,4.4,80XAA04,6,32.3,4.04,1.21,6.59,7.60,0.88,9.07,19.78
53,9,9,9,11,3,4,0,2013,U07m,80XAA04,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,80XAA04,4.9,2.7,0,0,10.1,7.7,8.2,6,80XAA04,6,39.6,4.95,0.00,0.00,0.00,0.00,0.00,0.00
54,9,9,9,12,3,4,10.1,2013,U07m,80XAA04,13,15%,0.071,0.062,0.556,0,2,0,9.0,12.7,9.0,8.5,5.3,12.7,5.1,7.0,69.33,205.51,80XAA04,0,0,0,5.1,7.1,0,7.7,8.2,80XAA04,4,28.1,3.51,2.88,2.78,5.95,4.02,1.99,35.48
55,9,9,9,13,3,4,7.1,2013,U07m,82XAA04,14,29%,0.061,0.03,0.273,0,3,0,3.7,12.7,5.2,12.7,4.4,7.2,9.0,6.1,61.12,145.35,82XAA04,10.1,0,5.1,0,7.3,5.5,0,7.7,82XAA04,5,35.7,4.46,1.59,5.03,5.28,1.49,5.37,31.68
56,9,9,9,14,3,4,7.3,2013,U07m,82XAA04,14,18%,0.045,0.032,0.291,0,2,0,4.6,7.5,9.0,6.5,4.9,9.1,5.1,12.7,59.34,143.40,82XAA04,7.1,5.1,0,7.1,6.2,2.9,5.5,0,82XAA04,6,33.9,4.24,1.72,4.64,8.51,2.09,3.83,30.93
57,9,9,9,15,3,4,6.2,2013,U07m,82XAA04,14,25%,0.042,0.024,0.213,0,2,0,4.1,12.7,4.2,5.7,4.5,12.7,6.1,6.7,56.84,127.26,82XAA04,7.3,0,7.1,7.7,6.2,0,2.9,5.5,82XAA04,6,36.7,4.59,1.35,5.92,6.79,1.28,6.25,28.44
58,9,9,9,16,3,4,6.2,2013,U07m,82XAA04,14,0%,0,0.023,0.21,0,1,0,4.5,5.9,4.0,8.1,4.1,6.4,9.0,8.7,50.74,112.17,82XAA04,6.2,7.1,7.7,3.5,7.5,6.1,0,2.9,82XAA04,7,41.0,5.13,1.21,6.61,8.43,1.17,6.82,31.78
59,9,9,9,17,3,5,7.5,2013,U07m,83XAA04,15,11%,0.031,0.034,0.306,0,2,0,4.9,6.3,6.1,6.0,4.8,7.1,5.0,12.7,52.98,116.97,83XAA04,6.2,7.7,3.5,8.4,6.5,5.9,6.1,0,83XAA04,7,44.3,5.54,1.35,5.91,8.87,1.53,5.24,41.53
60,9,9,9,18,3,5,6.5,2013,U07m,83XAA04,15,3%,0.007,0.026,0.23,0,1,0,4.2,8.3,3.9,6.6,5.1,5.5,4.7,6.6,44.79,84.27,83XAA04,7.5,3.5,8.4,6.1,5,8.6,5.9,6.1,83XAA04,8,51.1,6.39,1.02,7.86,8.79,0.97,8.22,41.52
61,9,9,9,19,3,5,5,2013,U07m,83XAA04,15,9%,0.011,0.015,0.136,0,1,0,3.9,4.7,4.1,5.9,3.6,4.9,3.3,5.8,36.34,56.45,83XAA04,6.5,8.4,6.1,5.7,7.4,8,8.6,5.9,83XAA04,8,56.6,7.08,0.71,11.32,5.79,0.49,16.40,35.38
62,9,9,9,20,3,5,7.4,2013,U07m,83XAA04,15,26%,0.061,0.033,0.295,0,2,0,5.4,7.0,5.1,6.2,4.1,8.4,4.3,5.9,46.40,91.33,83XAA04,5,6.1,5.7,7.7,8.8,3.8,8,8.6,83XAA04,8,53.7,6.71,1.10,7.26,9.53,1.14,7.01,49.67
63,9,9,9,21,3,0,8.8,2013,U07m,NM6,0,6%,0.025,0.047,0.422,0,3,2,4.9,7.7,4.8,12.7,9.0,12.7,6.3,6.7,64.82,183.69,NM6,7.4,5.7,7.7,0,0,0,3.8,8,NM6,5,32.6,4.08,2.16,3.70,7.29,2.75,2.91,35.86
64,9,9,9,1,4,1,0,2013,U07m,85XAA04,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,0,0,2.7,6.9,4.4,8.4,8.9,0,85XAA04,5,31.3,3.91,0.00,0.00,0.00,0.00,0.00,0.00
65,9,9,9,2,4,1,4.4,2013,U07m,85XAA04,20,10%,0.009,0.012,0.106,0,1,0,9.0,7.9,3.5,6.1,9.0,5.1,3.1,4.2,47.88,101.56,85XAA04,0,2.7,6.9,4.8,0,6.6,8.4,8.9,85XAA04,6,38.3,4.79,0.92,8.70,4.87,0.57,14.01,21.07
66,9,9,9,3,4,1,0,2013,U07m,85XAA04,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,4.4,6.9,4.8,10.2,0,9.1,6.6,8.4,85XAA04,7,50.4,6.30,0.00,0.00,0.00,0.00,0.00,0.00
67,9,9,9,4,4,1,0,2013,U07m,85XAA04,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,0,4.8,10.2,0,6.3,6,9.1,6.6,85XAA04,6,43.0,5.38,0.00,0.00,0.00,0.00,0.00,0.00
68,9,9,9,5,4,1,6.3,2013,U07m,18XAG04,19,5%,0.01,0.024,0.217,0,2,0,9.0,4.9,9.0,12.7,4.8,8.4,4.6,5.2,58.52,145.61,18XAG04,0,10.2,0,0,5.6,3.3,6,9.1,18XAG04,5,34.2,4.28,1.47,5.43,5.39,1.20,6.68,26.93
69,9,9,9,6,4,1,5.6,2013,U07m,18XAG04,19,0%,0,0.019,0.171,0,1,0,4.2,12.7,9.0,12.7,5.5,6.7,5.7,6.1,62.70,172.70,18XAG04,6.3,0,0,0,3.6,5,3.3,6,18XAG04,5,24.2,3.03,1.85,4.32,6.19,2.01,3.97,16.94
70,9,9,9,7,4,1,3.6,2013,U07m,18XAG04,19,0%,0,0.008,0.069,0,2,0,3.5,12.7,9.0,12.7,3.2,4.9,3.8,6.6,56.44,140.22,18XAG04,5.6,0,0,0,6.6,5.8,5,3.3,18XAG04,5,26.3,3.29,1.10,7.31,3.62,0.72,11.15,11.84
71,9,9,9,8,4,1,6.6,2013,U07m,18XAG04,19,7%,0.016,0.026,0.236,0,2,0,5.8,12.7,9.0,7.4,7.1,5.3,4.8,7.2,59.34,158.05,18XAG04,3.6,0,0,4.8,1.8,9.2,5.8,5,18XAG04,6,30.2,3.78,1.75,4.58,10.05,1.91,4.19,24.92
72,9,9,9,9,4,4,1.8,2013,U07m,85XAA04,18,0%,0,0.002,0.018,0,1,0,1.9,12.7,2.5,3.8,3.6,3.4,1.5,3.0,32.37,37.52,85XAA04,6.6,0,4.8,4.3,2.7,4.9,9.2,5.8,85XAA04,7,38.3,4.79,0.38,21.28,2.61,0.11,72.43,8.62
73,9,9,9,10,4,4,2.7,2013,U07m,85XAA04,18,0%,0,0.004,0.04,0,1,0,5.4,4.6,3.5,2.8,9.0,12.7,3.2,2.9,44.04,90.26,85XAA04,1.8,4.8,4.3,9.7,0,0,4.9,9.2,85XAA04,6,34.7,4.34,0.62,12.85,3.81,0.24,33.95,11.71
74,9,9,9,11,4,4,0,2013,U07m,85XAA04,18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,2.7,4.3,9.7,8.3,0,10.1,0,4.9,85XAA04,6,40.0,5.00,0.00,0.00,0.00,0.00,0.00,0.00
75,9,9,9,12,4,4,0,2013,U07m,85XAA04,18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,85XAA04,0,9.7,8.3,2.9,5.1,7.1,10.1,0,85XAA04,6,43.2,5.40,0.00,0.00,0.00,0.00,0.00,0.00
76,9,9,9,13,4,5,5.1,2013,U07m,84XAA04,17,15%,0.018,0.016,0.14,0,2,0,9.0,4.8,5.7,6.4,9.0,5.2,3.8,4.3,48.21,101.29,84XAA04,0,8.3,2.9,5.1,0,7.3,7.1,10.1,84XAA04,6,40.8,5.10,1.00,8.00,5.29,0.67,11.88,26.01
77,9,9,9,14,4,5,0,2013,U07m,84XAA04,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,84XAA04,5.1,2.9,5.1,6.7,7.1,6.2,7.3,7.1,84XAA04,8,47.5,5.94,0.00,0.00,0.00,0.00,0.00,0.00
78,9,9,9,15,4,5,7.1,2013,U07m,84XAA04,17,9%,0.023,0.031,0.275,0,1,0,9.0,7.4,4.6,7.5,4.3,6.8,4.8,6.3,50.70,111.87,84XAA04,0,5.1,6.7,5,7.7,6.2,6.2,7.3,84XAA04,7,44.2,5.53,1.29,6.23,8.06,1.41,5.66,39.23
79,9,9,9,16,4,5,7.7,2013,U07m,84XAA04,17,4%,0.012,0.036,0.324,0,3,0,4.7,6.8,5.5,12.7,6.2,6.4,5.0,7.1,54.34,126.37,84XAA04,7.1,6.7,5,0,3.5,7.5,6.2,6.2,84XAA04,7,42.2,5.28,1.46,5.48,9.48,1.79,4.48,40.62
80,9,9,9,17,4,5,3.5,2013,U07m,82XAA04,16,0%,0,0.007,0.067,0,1,0,2.8,5.2,9.0,6.2,2.6,4.5,2.9,4.6,37.80,65.26,82XAA04,7.7,5,0,3.7,8.4,6.5,7.5,6.2,82XAA04,7,45.0,5.63,0.62,12.86,4.09,0.32,24.94,19.69
81,9,9,9,18,4,5,8.4,2013,U07m,82XAA04,16,24%,0.074,0.043,0.389,0,3,0,6.4,12.7,6.2,10.4,5.2,8.0,5.1,6.7,60.70,154.95,82XAA04,3.5,0,3.7,1.9,6.1,5,6.5,7.5,82XAA04,7,34.2,4.28,1.96,4.07,14.56,2.97,2.70,35.91
82,9,9,9,19,4,5,6.1,2013,U07m,82XAA04,16,10%,0.018,0.023,0.206,0,2,0,3.8,7.9,6.9,12.7,4.7,5.8,4.9,6.2,52.81,120.19,82XAA04,8.4,3.7,1.9,0,5.7,7.4,5,6.5,82XAA04,7,38.6,4.83,1.26,6.33,9.64,1.23,6.51,29.43
