epithet_id|epithet|alternate_name|trade_designations|species|etymology|sex|reference_epithet|reference_breeders|reference_tests|awards|source_type|year_selected|Interspecific_hybrid|familiy_id|mother|father|origin_lat_long|origin_place|description|originator_breeder|registrant|nominator|introducer|keeper|nominator_desc|standard_herbarium |name_status|name_status_note|current_cultivation|checklist_record|contact_info
|‘Hrima’ |‘Hríma’||S. alaxensis (Andersson) Coville||female |Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015|||||||||||Iceland |A large female shrub or small tree if left undisturbed with pubescent, gray-burgundy branchlets, which are even more attractive than on ‘Gusta’ or ‘Gutti’. Long branches are glabrous and covered with bloom, while its branchlets are covered with short hair, which appears as wax.  It is a large shrub, but not as robust as other cultivars of S. alaxensis Coville. A selection from Iceland (Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015).||||||||Established|||||
|‘Kenai’|||S. alaxensis (Andersson) Coville|Kenai is the name of a large peninsula in Alaska, US. ||Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015|||||||||||Iceland |A large shrub with remarkably smooth bark and very attractive oval leaves similar to S. alaxensis var. longistylis (Rydb.) C.K.Schneid. (Pálsson, 1997; Lagerström and Uronen, 2005; http://www.pajutjapoppelit.com; accessed 13 September 2015). Long branches are glabrous and covered with bloom, while its branchlets are covered with short hair, which appears as wax. A selection from Iceland, which was first introduced to Norway and later distributed to other Nordic countries where its cultivar’s epithet was lost, and it was cultivated as S. alaxensis Coville (T. Uronen, pers. comm., July 2015). ||||||||Established|‘Kenai’ was the preferred name in the LNWP 2016–2020.|‘Kenai’ was found in trade in the Netherlands (2018 PS). |||
|‘Olina’ |‘Ólína’||S. alaxensis (Andersson) Coville||female |Pálsson, 1997; Lagerström and Uronen, 2005)|||||||||||Iceland |A female cultivar from Iceland (Pálsson, 1997; Lagerström and Uronen, 2005). ||||||||Established|||||
|‘Rhode’|||S. alaxensis (Andersson) Coville|||Englert et al., 2000|||||||||||US|A cultivar selected by the USDA Natural Resources Conservation Service from wild populations in Palmer, Alaska, US (USDA-GRIN accession PI Ames 4623). It was released by the Alaska Department of Natural Resources, Plant Materials Center, Palmer, Alaska, US, in 1986 (Englert et al., 2000).||||||||Established|||||
|‘Amstelveen’|||S. alba L.|Amstelveen is the name of a city in the province of North Holland, Netherlands.||LNWP 2016–2020||||||||||||No description or published reference for this cultivar was found. The epithet was listed in the online catalog of the Van Boomkwekerij Hendrickx B.V. Nursery, Netherlands (http://www.kwekerij-hendrickx.nl/voorraad.php; accessed 16 July 2014)||||||||Established|‘Amstelveen’ was the preferred name in the LNWP 2016–2020, where it was listed as a temporarily registered cultivar. |‘Amstelveen’ was found in trade in the Netherlands (2018 PS)|||
|‘Barlo’|||S. alba L.||female |Broekhuizen and Schneider, 1969; Krüssmann, 1984; Publikatieblad—Plant Breeder's Rights|CPVO grant No. 002063||||1968||||||Netherland|A female cultivar with a very narrow crown, wide crotch angles, and numerous short, light-brown-green ascending branchlets. Leaves are 7–9 cm long and 1.5 cm wide, light-green above with grey-blue undersides. Petioles are brown-green. Leaf drop occurs late. This cultivar was selected by B.V. Geessink in the Netherlands in 1968 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). This cultivar was registered in 2003 (CPVO grant No. 002063) and published in Publikatieblad—Plant Breeder's Rights. |B.V. Geessink |||||||Established||‘Barlo’ was found in trade in the Netherlands (2018 PS).|||
|‘Belders’|||S. alba L.||male |Broekhuizen and Schneider, 1969; Krüssmann, 1984| ||||1967||||||Netherland|A male cultivar with a narrow crown, crotch angles at about 60° and somewhat wavy branches. Young branchlets are green at the apex. Leaves are up to 11.5 cm long and 1.5 cm wide. Petioles are partly red, about 10 mm long. Vegetative buds have a distinct green spot at the base in summer (Krüssmann, 1984). This cultivar was selected by Nederlandse Algemene Keuringsdienst in the Netherlands in 1967 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). |Nederlandse Algemene Keuringsdienst |||||||Established|‘Belders’ was the preferred name in the LNWP 2016–2020 and the accepted name in the 2018 RHS HD.  |‘Belders’ was found in trade in the Netherlands (2018 PS). It was last sold by one UK nursery in 2011 (2013 RHS PF). | ||
|‘Boden’|||S. alba L.|||Svensson et al. ,1992|||||||||||Finland|A cultivar listed by Svensson et al. (1992), which was developed in Harviala Nursery, Finland. It is similar to ‘Sibirica’ (T. Uronen, pers. comm., August 2015).||||||||Established|||||
|BODEN SILVER ™| |A trademark name for S. alba L. ‘Ep Salbosi’|S. alba L.|||||||||||||||||||||||Trademark name |When listing a trade designation in catalogs, it is desirable to cross-reference it to the accepted cultivar epithet in order that confusion does not arise from thinking there are two different plants.||||
|‘Boitin’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Boitin’ was the preferred name in the LNWP 2016–2020. |‘Boitin’ was found in trade in the Netherlands (2018 PS). |||
|‘Bredevoort’ |S. ‘Bredevoort’||S. alba L.||female |Broekhuizen and Schneider, 1969; Krüssmann, 1984|CPVO grant No. 002065||||1968||||||Netherlands|A female cultivar with a very narrow conical crown and short straight ascending branches. The middle branchlets are glossy green. Leaves are 8–10 cm long and 1.5 cm wide, green above with blue-green undersides. Petioles are reddish-brown, 10 mm long with stalked glands about 4 mm long. Leaf drop occurs late (Krüssmann, 1984). This cultivar was selected by B.V. Geessink in the Netherlands in 1968 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). ||||||||Established|‘Bredevoort’ was the preferred name in the LNWP 2016–2020.This name was listed in the CPVO as S. ‘Bredevoort’, a cultivar registered by B.V. Geessink (Netherlands) in 1968 (CPVO grant No. 002065) and published in Publikatieblad—Plant Breeder's Rights.  |‘Bredevoort’ was found in trade in the Netherlands (2018 PS).|||
|‘B-44’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘B-44’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘B-72’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO.  ‘B-72’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘B-74’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘B-74’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘Caerulea’|This epithet most likely corresponds to S. alba L. subsp. alba; syn. S. coerulea Smith (1812), S. alba var. caerulea (Sm.)Sm. (1828), S. alba var. calva  G.F.W.Meyer (1836), S. alba var. caerulea (Sm.)W.D.J.Koch (1837), S. alba f. caerulea (Sm.)Wimm. (1866), S. alba subsp. caerulea (Sm.)Rech.f. (1963), S. alba subsp. caerulea (Sm.)Rech.f. (1963), S. alba ‘Calva’.||S. alba L.||both sexes|Broekhuizen and Schneider, 1969; Warren-Wren, 1972; Bean, 1981; Krüssmann, 1984; Meikle, 1984||||||||||||It is a large broadly conical tree without an obvious central leader that has erect branches arising at 60° from the stem. Shoots are red-brown on the upper side at the apex. Leaves are 9.5 cm long and 1.5 cm wide; glossy green above with a somewhat grey underside. They have silky pubescence in spring, later becoming glabrous on the undersides, often with brown margins. Red petioles are 7 mm long. Ovaries are somewhat stalked. The original tree was found around 1700 in Norfolk, England. It was used in England for cricket bats, hence its common name, “cricket-bat willow” (Broekhuizen and Schneider, 1969; Krüssmann, 1984). According to Warren-Wren (1972), only female trees of this cultivar produce lumber of the required standard for cricket bats. According to Bean (1981), ‘Caerulea’ is a female clone sometimes called “blue willow” because its leaves have blue-grey undersides. Meikle (1984) noted that both sexes occur, although the male with less desirable quality for bats is less frequently planted. It is possible that the clone in cultivation is a hybrid. ||||||||Established|S. alba var. caerulea was the accepted name and ‘Calva’ was a tentatively accepted name in the 2018 RHS HD. ‘Calva’ was the preferred name in the LNWP 2016–2020 as a cultivar of S. ×rubens Schrank.|‘Calva’ was mos recently sold by four UK nurseries in 2013 (2013 RHS PF). |||
|‘Calva’|‘Caerulea’||S. alba L.||| RHS HD ||||||||||||No description of this cultivar was found. ||||||||Not established|‘Calva’ was a tentatively accepted name in the 2018 RHS HD.||||
|‘Corvinus’|||S. alba L.|||2018 RHS HD||||||||||||No description of this cultivar was found. ||||||||Established|‘Corvinus’ was the accepted name for the PBR granted cultivar in the 2018 RHS HD.||||
|‘Concolor’|||S. alba L.|||2018 RHS HD||||||||||||No description or published reference for this cultivar was found; therefore, this name is not established.||||||||Not established|‘Concolor’ was listed as a tentatively accepted name for a cultivar of S. alba var. vitellina (L.) Stokes in the 2018 RHS HD.||||
|‘Drakenburg’|||S. alba L.||female |Broekhuizen and Schneider, 1969; Krüssmann, 1984|||||1955||||||Netherland|A female cultivar with a wide conical crown, straight stems, and crotch angles at 70–80°. Young branchlets are green and somewhat brown at the apex; buds are red-brown. Leaves are 12 cm long and 1.5 cm wide. Petioles are 7 mm long and stipules are 9 mm long and 1 mm wide.  It was selected by Staatsbosbeheer in the Netherlands in 1955 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). |Staatsbosbeheer|||||||Established|‘Drakenburg’ was the preferred name in the LNWP 2016–2020 and a tentatively accepted name in the 2018 RHS HD (listed as ‘Drakonburg’). |‘Drakenburg’ was found in trade in the Netherlands (2018 PS).  It was last listed by a UK nursery in 2010 (2014 RHS PF). |||
|‘Ep Salbosi’ ||BODEN SILVER ™|S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|||||
|‘Green Valley’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Green Valley’ was the preferred name in the LNWP 2016–2020 (listed as a cultivar recorded before 1995). ||||
|‘Het Goor’ |S. ‘Het Goor’||S. alba L.||male |Broekhuizen and Schneider, 1969; Krüssmann, 1984|CPVO grant No. 2064||||1968||||||Netherlands|A male cultivar with a br oadly ovate crown, wide crotch angles, and straight stems. Branches are olive-green to brown. Leaves are 7.5–9 cm long and 1.5 cm wide, light-green above with blue-green undersides. Petioles are light-green and somewhat red, 7–8 mm    long. Leaf drop occurs late. This cultivar was selected by B.V. Geessink in the Netherlands in 1968 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). It was listed in the CPVO as S. ‘Het Goor', a cultivar proposed by B.V.Geessink, Netherlands, in 1968 (CPVO grant No. 2064) and published in the Publikatieblad—Plant Breeder's Rights. |B.V. Geessink |||||||Established|‘Het Goor’ was the preferred name in the LNWP 2016–2020. |‘Het Goor’ was found in trade in the Netherlands (2018 PS).| |  | 
|‘Lichtenvoorde’|||S. alba L.|Lichtenvoorde is the name of a town in the Netherlands.|male |Broekhuizen and Schneider, 1969; Krüssmann, 1984|CPVO grant No. 002062||||1968||||||Netherlands|A male cultivar with straight stems, a very narrow cylindrical crown, short ascending and somewhat pendulous tipped branches, glossy green in the middle. Leaves are 8–10 cm long and 1.5 cm wide, green above with blue-green undersides. Petioles are light-green, 11 mm long. Leaf drop occurs late. This cultivar was registered by B.V. Geessink in the Netherlands in 1968 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984).  ‘Lichtenvoorde’ was listed in the CPVO (CPVO grant No. 002062) and published in the Publikatieblad—Plant Breeder's Rights. |B.V. Geessink |||||||Established|‘Lichtenvoorde’ was the preferred name in the LNWP 2016–2020.|‘Lichtenvoorde’ was found in trade in the Netherlands (2018 PS).  |||
|‘Liempde’|||S. alba L.||male |Broekhuizen and Schneider, 1969; Krüssmann, 1984|||||1949||||||Netherlands|A male cultivar with a narrow conical crown and straight dominant leader with crotch angles at 50°. Young branches are red at the tips. Leaves are 9–11 cm long. Stipules are 3–5 mm long. This cultivar was selected by H.C. van Vleuten in the Netherlands in 1949. It was the most commonly planted willow tree in Holland (Broekhuizen and Schneider, 1969; Krüssmann, 1984). |H.C. van Vleuten |||||||Established|‘Liempde’ was the preferred name in the LNWP 2016–2020 and the accepted name in the 2018 RHS HD. |‘Liempde’ was sold by two UK nurseries (2018 RHS PF) and was found in trade in the Netherlands (2018 PS). |||
|‘Lievelde’|||S. alba L.||male |Broekhuizen and Schneider, 1969; Krüssmann, 1984|CPVO grant No. 002058||||1968||||||Netherlands |A male cultivar with a conical crown and crotch angles at 45°. Branches are ascending and the basal branches are conspicuously long. Branchlets are grey/brown with large buds. Leaves are about 6–7 times longer than wide. Leaf drop occurs late. It was selected and registered by B.V. Geessink in the Netherlands in 1968, and was sold in Holland as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). ‘Lievelde’ was listed in the CPVO (CPVO grant No. 002058) and published in the Publikatieblad—Plant Breeder's Rights.|B.V. Geessink |||||||Established|‘Lievelde’ was the preferred name in the LNWP 2016–2020.|‘Lievelde’ was found in trade in the Netherlands (2018 PS).  |||
|‘Malorntelelo’|||S. alba L.|||Newsholme, 1992 |||||||||||HungaryNo description of this cultivar was found. This name was listed by Newsholme (1992) as a cultivar selected in Hungary.|||||||||Established|||||
|‘Mittlerer Isar’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Mittlerer Isar’ was the preferred name in the LNWP 2016–2020 (listed as an old cultivar recorded before 1995). |‘Mittlerer Isar’ was found in trade in the Netherlands (2018 PS). |||
|‘Mötzow’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Mötzow’ was the preferred name in the LNWP 2016–2020. |‘Mötzow’ was was found in trade in the Netherlands (2018 PS). |||
|‘NS-73/6’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘NS-73/6’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘NS-79/2’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘NS-79/2’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘NS-107/6’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘NS-107/6’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘NS-107/65/1’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘NS-107/65/1’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘NS-107/65/7’|||S. alba L.|||2004–2007 Report of the National Poplar Commission of Serbia|||||||||||Serbia and Montenegro |No description of this cultivar was found. This cultivar was listed as selected in Serbia and Montenegro in the 2004–2007 Report of the National Poplar Commission of Serbia, which was submitted to the IPC FAO. ‘NS-107/65/7’ was recorded in the Yugoslav Register.||||||||Established|||||
|‘Ojebyn’ |‘Öjebyn’||S. alba L.|||Svensson et al. (1992) ||||||||||||A selection described by Svensson et al. (1992) as a cultivar of S. alba subsp. micans (Andersson) Rech.f. ( as S. alba var. sericea). It is likely the same or similar to ‘Sibirica’.||||||||Established|||||
|‘Oresund’ |‘Öresund’||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ‘Oresund’ was the preferred name in the LNWP 2016–2020. ||||||||Established||‘Oresund’ was found in trade in the Netherlands (2018 PS).  |||
|‘Pahlsmeier’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ‘Pahlsmeier’ was the preferred name in the LNWP 2016–2020. ||||||||Established||‘Pahlsmeier’ was found in trade in the Netherlands (2018 PS).  |||
|‘Raesfeld’|||S. alba L.|Raesfeld is the name of a town in Germany.||Newsholme (1992) |||||||||||Germany|This is a vigorous selection with reddish young stems, according to the Vermont Willow Nursery, Vermont, US, 2013 online catalog. It was listed by Newsholme (1992) as a cultivar selected in Germany. ||||||||Established|‘Raesfeld’ was the preferred name in the LNWP 2016–2020 and a tentatively accepted name for a male cultivar in the 2018 RHS HD. |‘Raesfeld’ was sold by one UK nursery (2018 RHS PF) and was found in trade in the Netherlands (2018 PS).  |||
|‘Red Hunter’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Red Hunter’ was the preferred name in the LNWP 2016–2020 (listed as a cultivar recorded before 1995).|‘Red Hunter’ was found in trade in the Netherlands (2018 PS). |||
|‘Richmond’|||S. alba L.|| |2018  RHS HD||||||||||||No description was found.||||||||Not established| ||||
|‘Rockanje’|||S. alba L.||female |Broekhuizen and Schneider, 1969; Krüssmann, 1984|||||1950||||||Netherlands |A female cultivar with 60° crotch angles and branchlets, which are brown-green to red at the apex. Leaves are 9–10.5 cm long and 1.5 cm wide, green above with grey-green undersides. Petioles are light-green, somewhat reddish, 9 mm long. Stipules are 4 mm long. This cultivar is particularly tolerant of strong winds. It was selected by Sipkes in the Netherlands in 1950 as a rapidly growing street tree (Broekhuizen and Schneider, 1969; Krüssmann, 1984). ||||||||Established|‘Rockanje’ was the preferred name in the LNWP 2016–2020 and a tentatively accepted name in the 2018 RHS HD. |‘Rockanje’ was found in trade in the Netherlands (2018 PS).  |||
|‘Royal Limosin’|||S. alba L.|||Stott, 2001||||||||||||A basket cultivar with dark red-brown stems ||||||||Established|||||
|‘RO-201’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found. ‘RO-201’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Ostrovul Lat RO-201’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-202’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found. ‘RO-202’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Cernavoda RO-202’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-204’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania| No description of this cultivar was found. ‘RO-204’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Camenita RO-204’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-326’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found. ‘RO-326’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Rast RO-326’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-334’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found.  ‘RO-334’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Mocanu RO-334’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-346’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found. ‘RO-346’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Bistret RO-346’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘RO-892’|||S. alba L.|||2008–2011 Report of the National Poplar Commission of Romania|||||||||||Romania|No description of this cultivar was found. ‘RO-892’ was listed as selected in Romania in the 2008–2011 Report of the National Poplar Commission of Romania, which was submitted to the IPC FAO (listed as ‘Cornetu RO-892’ in the 2004-2007 Report of the National Poplar Commission of Romania).  ||||||||Established|||||
|‘Saba’|||S. alba L.|||LNWP 2016–2020||||||||||||No description of this cultivar was found. ||||||||Established|‘Saba’ was the preferred name in the LNWP 2016–2020. |‘Saba’ was found in trade in the Netherlands (2018 PS).  |||
|‘Saint oedendrode’|A synonym of ‘St Oedenrode’||S. alba L.|||2018 RHS HD|||||||||||| ||||||||Not established| ‘Saint oedendrode’ was listed as a tentatively accepted name in the 2018 RHS HD.||||
