field_trial_key|id|notes|notes2|notes3|planted_order|live_quantity|is_plus_ynu|live_dbh_cm|live_height_cm|leaf_score|canker_score|tree_spacing_ft|row_nbr|column_nbr|replication_nbr|plot_nbr|block_nbr|id_test_spec|id_site
105aa5|27|No JRM|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|24|-1|1|1|25|9
1bw1|28|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|25|-1|1|1|25|9
20bs1|29|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|26|-1|1|1|25|9
1bw1|30|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|27|-1|1|1|25|9
97aa11|31|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|28|-1|1|1|25|9
3cagc3|32|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|29|-1|1|1|25|9
4acag9|33|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|30|-1|1|1|25|9
4acag9|34|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|31|-1|1|1|25|9
92aa11|35|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|32|-1|1|1|25|9
92aa11|36|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|33|-1|1|1|25|9
2b6|37|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|34|-1|1|1|25|9
2b6|38|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|35|-1|1|1|25|9
4acag4|39|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|36|-1|1|1|25|9
4acag4|40|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|37|-1|1|1|25|9
101aa11|41|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|38|-1|1|1|25|9
101aa11|42|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|39|-1|1|1|25|9
101aa11|43|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|40|-1|1|1|25|9
2b4|44|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|41|-1|1|1|25|9
2b64|45|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|42|-1|1|1|25|9
2b50|46|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|43|-1|1|1|25|9
2b62|47|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|44|-1|1|1|25|9
c173|48|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|45|-1|1|1|25|9
c173|49|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|46|-1|1|1|25|9
c173|50|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|1|47|-1|1|1|25|9
98aa11|51|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|48|-1|1|1|25|9
98aa11|52|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|1|49|-1|1|1|25|9
98aa11|53|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|50|-1|1|1|25|9
101aa11|54|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|51|-1|1|1|25|9
101aa11|55|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|1|52|-1|1|1|25|9
101aa11|56|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|1|53|-1|1|1|25|9
105aa3|57|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|1|54|-1|1|1|25|9
16ab7|58|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|1|55|-1|1|1|25|9
105aa5|59|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|1|56|-1|1|1|25|9
4gw11|60|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|1|-1|2|1|25|9
2b73|61|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|2|-1|2|1|25|9
4gw12|62|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|3|-1|2|1|25|9
2b68|63|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|4|-1|2|1|25|9
16ab4|64|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|5|-1|2|1|25|9
16ab8|65|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|6|-1|2|1|25|9
20bs9|66|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|7|-1|2|1|25|9
16ab1|67|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|8|-1|2|1|25|9
98aa11|68|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|9|-1|2|1|25|9
98aa11|69|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|10|-1|2|1|25|9
98aa11|70|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|11|-1|2|1|25|9
98aa11|71|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|12|-1|2|1|25|9
2b29|72|No JRM - May have figured wood|0|0|-1|1|U|1|-1|-1|-1|4x6|2|13|-1|2|1|25|9
97aa11|73|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|14|-1|2|1|25|9
zoss|74|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|15|-1|2|1|25|9
2b6|75|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|16|-1|2|1|25|9
100aa12|76|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|17|-1|2|1|25|9
95aa11|77|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|18|-1|2|1|25|9
95aa11|78|No JRM|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|19|-1|2|1|25|9
105aa3|79|No JRM - whips with small roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|20|-1|2|1|25|9
105aa3|80|No JRM - whips with small roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|21|-1|2|1|25|9
14b7|81|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|22|-1|2|1|25|9
105aa3|82|No JRM|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|23|-1|2|1|25|9
105aa3|83|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|24|-1|2|1|25|9
zoss|84|No JRM|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|25|-1|2|1|25|9
zoss|85|No JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|26|-1|2|1|25|9
2b3|86|100% 2b3 has JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|27|-1|2|1|25|9
2b3|87|Lost tag, verify. Has JRM|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|28|-1|2|1|25|9
2b3|88|Lost tag, verify. Has JRM|0|0|-1|1|U|1|-1|-1|-1|4x6|2|29|-1|2|1|25|9
2b25|89|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|30|-1|2|1|25|9
2b25|90|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|31|-1|2|1|25|9
100aa11|91|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|32|-1|2|1|25|9
100aa11|92|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|33|-1|2|1|25|9
100aa11|93|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|34|-1|2|1|25|9
100aa12|94|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|35|-1|2|1|25|9
100aa12|95|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|36|-1|2|1|25|9
97aa12|96|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|37|-1|2|1|25|9
97aa12|97|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|38|-1|2|1|25|9
2b71|98|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|39|-1|2|1|25|9
2b22|99|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|40|-1|2|1|25|9
2b22|100|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|41|-1|2|1|25|9
2b22|101|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|42|-1|2|1|25|9
cag204|102|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|43|-1|2|1|25|9
2b21|103|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1|-1|-1|-1|4x6|2|44|-1|2|1|25|9
2b21|104|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|45|-1|2|1|25|9
2b6|105|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|46|-1|2|1|25|9
2b6|106|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|47|-1|2|1|25|9
2b6|107|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|48|-1|2|1|25|9
2b25|108|whip - 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|49|-1|2|1|25|9
2b3|109|Planted with JRM (1.25/gallon), has good roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|50|-1|2|1|25|9
2b3|110|Planted with JRM (1.25/gallon), has good roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|51|-1|2|1|25|9
2b3|111|Planted with JRM (1.25/gallon), has good roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|52|-1|2|1|25|9
2b21|112|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|53|-1|2|1|25|9
2b21|113|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1|-1|-1|-1|4x6|2|54|-1|2|1|25|9
2b21|114|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|55|-1|2|1|25|9
2b21|115|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|55|-1|2|1|25|9
gg8|116|Notes - PostNE - WEST Edge (Rows WtoE) Planted with JRM (1.25/gallon).  aka clone E4|Start 2016 Measure|Dead|-1|0|U|0|-1|-1|-1|4x6|1|1|-1|1|1|26|9
4gw10|117|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2|-1|-1|-1|4x6|1|2|-1|1|1|26|9
2bg7|118|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.1|-1|-1|-1|4x6|1|3|-1|1|1|26|9
16ab2|119|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.4|-1|-1|-1|4x6|1|4|-1|1|1|26|9
4gw13|120|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.2|-1|-1|-1|4x6|1|5|-1|1|1|26|9
20bs7|121|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1.9|-1|-1|-1|4x6|1|6|-1|1|1|26|9
20bs3|122|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.6|-1|-1|-1|4x6|1|7|-1|1|1|26|9
16ab3|123|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.6|-1|-1|-1|4x6|1|8|-1|1|1|26|9
4acag7|124|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.3|-1|-1|-1|4x6|1|9|-1|1|1|26|9
80aa3mf|125|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.8|-1|-1|-1|4x6|1|10|-1|1|1|26|9
80aa3mf|126|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.9|-1|-1|-1|4x6|1|11|-1|1|1|26|9
89aa1|127|No JRM|0|0|-1|1|U|2.1|-1|-1|-1|4x6|1|12|-1|1|1|26|9
89aa1|128|No JRM|Thin later|0|-1|1|U|2.3|-1|-1|-1|4x6|1|13|-1|1|1|26|9
2b22|129|No JRM|0|0|-1|1|U|2|-1|-1|-1|4x6|1|14|-1|1|1|26|9
2b25|130|No JRM|0|0|-1|1|U|1.8|-1|-1|-1|4x6|1|15|-1|1|1|26|9
dn34|131|No JRM|2017 get whips|0|-1|1|U|2.9|-1|-1|-1|4x6|1|16|-1|1|1|26|9
dn34|132|No JRM|2017 get whips, thin later|0|-1|1|U|2.7|-1|-1|-1|4x6|1|17|-1|1|1|26|9
dn34|133|No JRM|2017 get whips|0|-1|1|U|2.7|-1|-1|-1|4x6|1|18|-1|1|1|26|9
dn34|134|No JRM|2017 get whips, thin later|Deer broke stem|-1|1|U|1.8|-1|-1|-1|4x6|1|19|-1|1|1|26|9
dn34|135|No JRM|2017 get whips|0|-1|1|U|2.6|-1|-1|-1|4x6|1|20|-1|1|1|26|9
1bw6|136|No JRM|0|0|-1|1|U|2.8|-1|-1|-1|4x6|1|21|-1|1|1|26|9
1bw6|137|No JRM|0|0|-1|1|U|2.1|-1|-1|-1|4x6|1|22|-1|1|1|26|9
105aa5|138|No JRM|0|0|-1|1|U|2.3|-1|-1|-1|4x6|1|23|-1|1|1|26|9
105aa5|139|No JRM|Thin later|0|-1|1|U|2|-1|-1|-1|4x6|1|24|-1|1|1|26|9
1bw1|140|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|1.6|-1|-1|-1|4x6|1|25|-1|1|1|26|9
20bs1|141|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|3.4|-1|-1|-1|4x6|1|26|-1|1|1|26|9
1bw1|142|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1.6|-1|-1|-1|4x6|1|27|-1|1|1|26|9
97aa11|143|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.2|-1|-1|-1|4x6|1|28|-1|1|1|26|9
3cagc3|144|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.9|-1|-1|-1|4x6|1|29|-1|1|1|26|9
4acag9|145|Planted with JRM (1.25/gallon)|0|0|-1|1|U|3.2|-1|-1|-1|4x6|1|30|-1|1|1|26|9
4acag9|146|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.8|-1|-1|-1|4x6|1|31|-1|1|1|26|9
92aa11|147|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.5|-1|-1|-1|4x6|1|32|-1|1|1|26|9
92aa11|148|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.4|-1|-1|-1|4x6|1|33|-1|1|1|26|9
2b6|149|Planted with JRM (1.25/gallon)|2017 get whips, thin later|0|-1|1|U|1.7|-1|-1|-1|4x6|1|34|-1|1|1|26|9
2b6|150|Planted with JRM (1.25/gallon)|2017 get whips, thin later|0|-1|1|U|1.4|-1|-1|-1|4x6|1|35|-1|1|1|26|9
4acag4|151|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2|-1|-1|-1|4x6|1|36|-1|1|1|26|9
4acag4|152|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2|-1|-1|-1|4x6|1|37|-1|1|1|26|9
101aa11|153|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.4|-1|-1|-1|4x6|1|38|-1|1|1|26|9
101aa11|154|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.5|-1|-1|-1|4x6|1|39|-1|1|1|26|9
101aa11|155|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.7|-1|-1|-1|4x6|1|40|-1|1|1|26|9
2b4|156|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.5|-1|-1|-1|4x6|1|41|-1|1|1|26|9
2b64|157|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.6|-1|-1|-1|4x6|1|42|-1|1|1|26|9
2b50|158|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2|-1|-1|-1|4x6|1|43|-1|1|1|26|9
2b62|159|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1.7|-1|-1|-1|4x6|1|44|-1|1|1|26|9
c173|160|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|2.7|-1|-1|-1|4x6|1|45|-1|1|1|26|9
c173|161|Planted with JRM (1.25/gallon)|2017 get whips, thin later|0|-1|1|U|2|-1|-1|-1|4x6|1|46|-1|1|1|26|9
c173|162|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|2.3|-1|-1|-1|4x6|1|47|-1|1|1|26|9
98aa11|163|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1.6|-1|-1|-1|4x6|1|48|-1|1|1|26|9
98aa11|164|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1.4|-1|-1|-1|4x6|1|49|-1|1|1|26|9
98aa11|165|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1.6|-1|-1|-1|4x6|1|50|-1|1|1|26|9
101aa11|166|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|2.2|-1|-1|-1|4x6|1|51|-1|1|1|26|9
101aa11|167|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1.7|-1|-1|-1|4x6|1|52|-1|1|1|26|9
101aa11|168|Planted with JRM (1.25/gallon), Whip with 1 inch roots|Thin later|0|-1|1|U|1.8|-1|-1|-1|4x6|1|53|-1|1|1|26|9
105aa3|169|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1.7|-1|-1|-1|4x6|1|54|-1|1|1|26|9
16ab7|170|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|2.1|-1|-1|-1|4x6|1|55|-1|1|1|26|9
105aa5|171|Planted with JRM (1.25/gallon), Whip with 1 inch roots|0|0|-1|1|U|1.6|-1|-1|-1|4x6|1|56|-1|1|1|26|9
4gw11|172|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.3|-1|-1|-1|4x6|2|1|-1|2|1|26|9
2b73|173|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2|-1|-1|-1|4x6|2|2|-1|2|1|26|9
4gw12|174|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.2|-1|-1|-1|4x6|2|3|-1|2|1|26|9
2b68|175|Planted with JRM (1.25/gallon)|0|0|-1|1|U|1.9|-1|-1|-1|4x6|2|4|-1|2|1|26|9
16ab4|176|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.2|-1|-1|-1|4x6|2|5|-1|2|1|26|9
16ab8|177|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.4|-1|-1|-1|4x6|2|6|-1|2|1|26|9
20bs9|178|Planted with JRM (1.25/gallon)|0|0|-1|1|U|3.6|-1|-1|-1|4x6|2|7|-1|2|1|26|9
16ab1|179|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.7|-1|-1|-1|4x6|2|8|-1|2|1|26|9
98aa11|180|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.7|-1|-1|-1|4x6|2|9|-1|2|1|26|9
98aa11|181|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.9|-1|-1|-1|4x6|2|10|-1|2|1|26|9
98aa11|182|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.6|-1|-1|-1|4x6|2|11|-1|2|1|26|9
98aa11|183|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.5|-1|-1|-1|4x6|2|12|-1|2|1|26|9
2b29|184|No JRM - May have figured wood|2017 get whips|0|-1|1|U|2.8|-1|-1|-1|4x6|2|13|-1|2|1|26|9
97aa11|185|No JRM|0|0|-1|1|U|2.7|-1|-1|-1|4x6|2|14|-1|2|1|26|9
zoss|186|No JRM|0|0|-1|1|U|1.7|-1|-1|-1|4x6|2|15|-1|2|1|26|9
2b6|187|No JRM|0|0|-1|1|U|1.3|-1|-1|-1|4x6|2|16|-1|2|1|26|9
100aa12|188|No JRM|0|0|-1|1|U|2.8|-1|-1|-1|4x6|2|17|-1|2|1|26|9
95aa11|189|No JRM|0|0|-1|1|U|2.5|-1|-1|-1|4x6|2|18|-1|2|1|26|9
95aa11|190|No JRM|Thin later|0|-1|1|U|2.1|-1|-1|-1|4x6|2|19|-1|2|1|26|9
105aa3|191|No JRM - whips with small roots|Thin later|0|-1|1|U|1.4|-1|-1|-1|4x6|2|20|-1|2|1|26|9
105aa3|192|No JRM - whips with small roots|0|0|-1|1|U|1|-1|-1|-1|4x6|2|21|-1|2|1|26|9
14b7|193|No JRM|2017 get whips|0|-1|1|U|2|-1|-1|-1|4x6|2|22|-1|2|1|26|9
105aa3|194|No JRM|Thin later|0|-1|1|U|2.3|-1|-1|-1|4x6|2|23|-1|2|1|26|9
105aa3|195|No JRM|0|0|-1|1|U|2|-1|-1|-1|4x6|2|24|-1|2|1|26|9
zoss|196|No JRM|Thin later|0|-1|1|U|1.6|-1|-1|-1|4x6|2|25|-1|2|1|26|9
zoss|197|No JRM|0|0|-1|1|U|0.9|-1|-1|-1|4x6|2|26|-1|2|1|26|9
2b3|198|100% 2b3 has JRM|2017 get whips|0|-1|1|U|1.8|-1|-1|-1|4x6|2|27|-1|2|1|26|9
2b3|199|Lost tag, verify. Has JRM|2017 get whips, thin later|0|-1|1|U|1.3|-1|-1|-1|4x6|2|28|-1|2|1|26|9
2b3|200|Lost tag, verify. Has JRM|2017 get whips|0|-1|1|U|1.5|-1|-1|-1|4x6|2|29|-1|2|1|26|9
2b25|201|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|2|-1|-1|-1|4x6|2|30|-1|2|1|26|9
2b25|202|Planted with JRM (1.25/gallon)|2017 get whips, thin later|0|-1|1|U|1.9|-1|-1|-1|4x6|2|31|-1|2|1|26|9
100aa11|203|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|3.6|-1|-1|-1|4x6|2|32|-1|2|1|26|9
100aa11|204|Planted with JRM (1.25/gallon)|2017 get whips, thin later|0|-1|1|U|3.3|-1|-1|-1|4x6|2|33|-1|2|1|26|9
100aa11|205|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|3.4|-1|-1|-1|4x6|2|34|-1|2|1|26|9
100aa12|206|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|3.1|-1|-1|-1|4x6|2|35|-1|2|1|26|9
100aa12|207|Planted with JRM (1.25/gallon)|0|0|-1|1|U|3.2|-1|-1|-1|4x6|2|36|-1|2|1|26|9
97aa12|208|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.7|-1|-1|-1|4x6|2|37|-1|2|1|26|9
97aa12|209|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|2.5|-1|-1|-1|4x6|2|38|-1|2|1|26|9
2b71|210|Planted with JRM (1.25/gallon)|2017 get whips|0|-1|1|U|1.5|-1|-1|-1|4x6|2|39|-1|2|1|26|9
2b22|211|Planted with JRM (1.25/gallon)|0|0|-1|1|U|2.5|-1|-1|-1|4x6|2|40|-1|2|1|26|9
2b22|212|Planted with JRM (1.25/gallon)|Thin later|0|-1|1|U|1.9|-1|-1|-1|4x6|2|41|-1|2|1|26|9
