taxa_key|id|notes|species|species_hybrid|common_name|binomial_name|kingdom|family|genus|web_photos|web_url
BA|20|Describes a CAG x P alba back cross. They may have potential for interesting recombinations.|0|(P. canescens x (P. alba x P. Grandidentata)) x P. Alba|BA|NA|NA|NA|NA|0|0
GB|21|Describes a G x CAG back cross. They may have potential for interesting recombinations.|0|P. grandidentata x (P. canescens x (P. alba x P. Grandidentata))|GB|NA|NA|NA|NA|0|0
BG|22|Describes a B x CAG back cross. They may have potential for interesting recombinations.|0|(P. canescens x (P. alba x P. Grandidentata)) x P. Grandidentata|BG|NA|NA|NA|NA|0|0
EG|23|E x G|0|P. tremula x P. grandidentata |EG|NA|Plantae|Salicaceae|Populus|0|0
GE|24|G x E. Interesting cross.  Some trees having nice form.|0|P. grandidentata x P. Tremula|GE|NA|Plantae|Salicaceae|Populus|0|0
EA|25|E x A|0|P. tremula x P. alba|gray poplar|P. xcanescens Smith|Plantae|Salicaceae|Populus|0|0
AR|26|A x R|0|P. alba x P. Xrouleauiana|NA|NA|Plantae|Salicaceae|Populus|0|0
RA|27|R x A|0|P. x rouleauiana x P. Alba|NA|NA|Plantae|Salicaceae|Populus|0|0
RG|28|R x G|0|P. x rouleauiana x P. Grandidentata|NA|NA|Plantae|Salicaceae|Populus|0|0
AC|29|A x C|0|P. alba x P. canescens|NA|NA|Plantae|Salicaceae|Populus|0|0
RC|30|R x C|0|P. x rouleauiana x P. Canescens|NA|NA|Plantae|Salicaceae|Populus|0|0
RE|31|R x E|0|P. x rouleauiana x P. Tremula|NA|NA|Plantae|Salicaceae|Populus|0|0
TE|32|T x E|0|P. tremuloides x P. tremula|TE|P. * wettsteinii |Plantae|Salicaceae|Populus|0|0
AW|33|A x W|0|P. alba x OP (Wind)|NA|NA|Plantae|Salicaceae|Populus|0|0
GW|34|G x W|0|P. grandidentata x OP (Wind)|NA|NA|Plantae|Salicaceae|Populus|0|0
RR|35|R x R|0|P. x rouleauiana x P. X rouleauiana|NA|NA|Plantae|Salicaceae|Populus|0|0
BC|36|B x C|0|(P. x rouleauiana x P. canescens) x P. canescens|NA|NA|Plantae|Salicaceae|Populus|0|0
BR|37|B x R|0|(P. x rouleauiana x P. canescens) x P. X rouleauiana|NA|NA|Plantae|Salicaceae|Populus|0|0
RB|38|R x B|0|P. x rouleauiana x (P. xrouleauiana x P. canescens)|NA|NA|Plantae|Salicaceae|Populus|0|0
BAR|39|B x (A x R)|0|(P. xrouleauiana x P. canescens) x P. X rouleauiana |NA|NA|Plantae|Salicaceae|Populus|0|0
ARW|40|(A x R) x W|0|(P. alba x P. X rouleauiana) x OP (Wind)|NA|NA|Plantae|Salicaceae|Populus|0|0
BT|41|B x T|0|(P. alba x P. X rouleauiana) x P. Tremuloides|NA|NA|Plantae|Salicaceae|Populus|0|0
ARA|42|(A x R) x A|0|(P. alba x P. X rouleauiana) x P. Alba|NA|NA|Plantae|Salicaceae|Populus|0|0
