plant_key|id|notes|sex_mfbu|published_botanical_name|common_name|alternate_name|aquired_from|female_external_parent|male_external_parent|form_fnmwu|is_plus|is_cultivar|is_variety|is_from_wild|ploidy_n|date_aquired|id_taxa|id_family|web_photos|web_url
76AA2|86|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA3|87|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA10|88|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA11|89|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA12|90|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA13|91|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA14|92|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA15|93|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA16|94|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA17|95|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA18|96|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA19|97|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
77AA1|98|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA2|99|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA9|100|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA8|101|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA3|102|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA4|103|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA5|104|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
77AA6|105|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|130|0|0
83AA1|106|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA2|107|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA3|108|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA4|109|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA5|110|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|1|2|0|0
83AA6|111|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA58|112|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA101|113|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA102|114|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA103|115|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA104|116|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
T0601|117|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|2006-01-01|1|2|0|0
T0602|118|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|2006-01-01|1|2|0|0
4AA101|119|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|96|0|0
70AA01|120|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|123|0|0
68AA01|121|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|120|0|0
62AA01|122|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|114|0|0
76AA214|123|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA217|124|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
83AA189|125|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA202|126|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA203|127|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA204|128|Plant notes here.|U|0|0|A204|Aquired notes here.|0|0|M|Y|N|N|N|2|2009-01-01|3|140|0|0
83AA206|129|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA208|130|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
83AA209|131|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
35AA200|132|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|80|0|0
35AA201|133|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|80|0|0
35AA202|134|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|80|0|0
83AA105|135|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA106|136|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
83AA107|137|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2009-01-01|3|140|0|0
41AA111|138|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2001-01-01|3|88|0|0
33AA11|139|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|79|0|0
40AA08|140|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|87|0|0
30AA5MF|141|Plant notes here.|F|0|0|30AA-8m-5-2|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|76|0|0
40AA6MF|142|Plant notes here.|F|0|0|40AA-8m-23-27|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|87|0|0
83AA1MF|143|Plant notes here.|M|0|0|83AA-7m-3-17|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|140|0|0
83AA2MF|144|Plant notes here.|M|0|0|83AA-7m-7-4|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|140|0|0
83AA166|145|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2005-01-01|3|140|0|0
87AA101|146|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|164|0|0
90AA101|147|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|165|0|0
94AA101|148|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2010-01-01|3|161|0|0
ST7|149|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|1993-03-06|1|2|0|0
ST8|150|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|1993-03-06|1|2|0|0
ST9|151|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|1993-03-23|1|2|0|0
ST10|152|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|Y|2|1993-03-23|1|2|0|0
100AA01|153|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2010-09-16|3|158|0|0
100AA02|154|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2010-09-16|3|158|0|0
100AA03|155|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2010-09-16|3|158|0|0
100AA04|156|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2010-09-16|3|158|0|0
ZOSS|157|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|2010-12-18|6|2|0|0
J2|158|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|2010-12-17|3|2|0|0
76AA205|159|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA211|160|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
76AA218|161|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2004-01-01|3|129|0|0
83AA301|162|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|N|N|N|N|2|2011-04-21|3|140|0|0
WIND|163|Plant notes here.|M|0|Wind or Open Pollinated |W|Aquired notes here.|0|0|U|U|N|N|U|2|1111-11-11|2|1|0|0
83AA3MF|164|Plant notes here.|U|0|0|83AA-MSU-69|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA4MF|165|Plant notes here.|U|0|0|83AA-MSU-70|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA5MF|166|Plant notes here.|U|0|0|83AA-MSU-66|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA6MF|167|Plant notes here.|U|0|0|83AA-MSU-75|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA7MF|168|Plant notes here.|U|0|0|83AA-MSU-74|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA8MF|169|Plant notes here.|U|0|0|83AA-MSU-65|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA9MF|170|Plant notes here.|U|0|0|83AA-MSU-68|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA10MF|171|Plant notes here.|U|0|0|83AA-MSU-63|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA11MF|172|Plant notes here.|U|0|0|83AA-MSU-72|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA12MF|173|Plant notes here.|U|0|0|83AA-MSU-71|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA13MF|174|Plant notes here.|U|0|0|83AA-MSU-67|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA14MF|175|Plant notes here.|U|0|0|83AA-MSU-73|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA15MF|176|Plant notes here.|U|0|0|83AA-MSU-64|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA16MF|177|Plant notes here.|U|0|0|83AA-MSU-76|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
83AA17MF|178|Plant notes here.|U|0|0|83AA-MSU-62|Aquired notes here.|0|0|U|U|N|N|N|2|2010-05-14|3|140|0|0
C173|179|Plant notes here.|F|0|0|Ca-14-75|Aquired notes here.|0|0|W|Y|Y|N|N|2|2012-02-20|13|2|TBD|0
T202|180|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|U|N|N|N|2|2012-02-20|11|2|TBD|0
1CAGW01|181|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-06-28|14|171|TBD|0
80AA3MF|182|Plant notes here.|U|0|0|TBD|Aquired notes here.|0|0|W|Y|N|N|N|2|2012-06-21|3|137|TBD|0
1CAGW02|183|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|14|171|TBD|0
1CAGW03|184|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|14|171|TBD|0
100AA11|185|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|158|TBD|0
100AA12|186|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|158|TBD|0
101AA11|187|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|156|TBD|0
103AA11|188|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|170|TBD|0
104AA11|189|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|169|TBD|0
104AA12|190|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|169|TBD|0
92AA11|191|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|152|TBD|0
93AA11|192|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|166|TBD|0
93AA12|193|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|166|TBD|0
95AA11|194|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|162|TBD|0
97AA11|195|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|159|TBD|0
98AA11|196|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|155|TBD|0
97AA12|197|Plant notes here.|U|0|0|0|Aquired notes here.|0|0|U|Y|N|N|N|2|2012-11-04|3|159|TBD|0
A69|198|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|1989-01-01|3|2|TBD|0
9AG103|199|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|N|2|1991-01-01|6|147|0|0
9AG105|200|Plant notes here.|B|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|1991-01-01|6|147|0|0
G1|201|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|2013-05-04|10|175|0|0
G2|202|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|2013-05-04|10|176|0|0
G3|203|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|N|N|N|Y|2|2013-05-24|10|177|0|0
3AA202|204|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|2013-04-13|3|83|0|0
83AA565|205|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|M|Y|N|N|N|2|2014-04-07|3|140|0|0
80AA5MF|206|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|N|2|2014-04-07|3|137|TBD|0
PLAZA|207|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|2014-04-07|6|2|TBD|0
82AA3|208|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|Y|N|N|N|2|2014-04-07|3|139|TBD|0
ST11|209|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|Y|N|N|Y|2|2014-04-07|11|2|TBD|0
G4|210|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|M|Y|N|N|Y|2|2014-04-07|10|2|TBD|0
G5|211|Plant notes here.|F|0|0|0|Aquired notes here.|0|0|W|U|N|N|Y|2|2014-04-07|10|2|TBD|0
G6|212|Plant notes here.|M|0|0|0|Aquired notes here.|0|0|W|Y|N|N|Y|2|2014-04-07|10|2|TBD|0
