id|dbh|dbh_rank|name|area_index|Sum_DBH_Ratio2_cD|sDBH_x_cAVG
134|3|190|2XT4E04|52.74|5.87|14.59
135|4.7|156|17XGA04|77.69|8.43|24.09
136|3.9|172|17XGA04|66.3|8.36|20.33
137|5.9|120|17XGA04|114.6|10.77|27.14
138|0|208|17XGA04|0|0|0
139|8.9|19|83XAA04|177.95|7.19|34.82
140|7.5|63|83XAA04|183.48|4.23|27.47
141|8.2|40|83XAA04|182.74|8.53|30.24
142|9.9|4|83XAA04|199.2|11.37|30.94
143|0|208|81XAA04|0|0|0
144|5|149|81XAA04|113.21|5.41|21.5
145|4.5|159|81XAA04|78.66|5.19|24.75
146|8|47|81XAA04|144.09|12.08|36
147|3.3|185|85XAA04|135.85|3.12|12.42
148|2.4|199|1XTE04|222.71|0.58|4.98
149|0|208|1XTE04|0|0|0
150|1.5|206|1XTE04|147.94|1.2|4.89
151|2.4|200|1XTE04|105.87|2.9|9.51
152|6|118|18XAG04|161.99|6.93|22.88
153|2.6|197|18XAG04|90.77|3.23|11.99
154|2.2|201|18XAG04|54.01|3.34|11.08
155|5.3|138|18XAG04|88.39|9.72|28.42
156|7.3|69|82XAA04|109.41|11.78|40.24
157|5.7|129|82XAA04|85.09|8.83|31.71
158|7.1|78|82XAA04|129.43|10.32|31.95
159|5.9|121|82XAA04|99.79|7.43|31.71
160|6.5|95|81XAA04|101.25|7.32|37.38
161|5.7|130|81XAA04|81.84|5.47|36.84
162|0|208|81XAA04|0|0|0
163|3.5|182|81XAA04|71.27|3.2|18.86
164|6.1|113|84XAA04|104.16|7.99|32.33
165|6.6|91|84XAA04|130.22|6.79|30.44
166|0|208|84XAA04|0|0|0
167|4.5|160|84XAA04|93.23|7.42|22.22
168|3.1|188|85XAA04|143.5|3.72|11.08
169|0|208|85XAA04|0|0|0
170|0|208|85XAA04|0|0|0
171|0|208|85XAA04|0|0|0
172|0|208|85XAA04|0|0|0
173|8.6|26|80XAA04|148.83|14.38|39.99
174|8.7|24|80XAA04|137.01|16.98|43.5
175|7.5|64|80XAA04|126.33|15.53|36.94
176|9.3|10|80XAA04|144.76|18.06|44.76
177|5|150|84XAA04|94.03|6.79|25.88
178|7.2|74|84XAA04|134.98|10.62|32.49
179|3.4|183|84XAA04|90.17|3.82|14.41
180|4|169|84XAA04|93.37|6.59|18.05
181|7.2|75|80XAA04|159.77|10.05|27.81
182|6.8|85|80XAA04|171.45|7.61|23.8
183|6.6|92|80XAA04|201.94|5.71|16.42
184|3.9|173|80XAA04|122.89|3.3|15.84
185|8.4|30|83XAA04|157.94|9.91|34.76
186|5.1|143|83XAA04|97|4.39|27.16
187|7.8|51|83XAA04|146.65|8.58|35.49
188|10.6|1|83XAA04|197.41|16.57|36.04
189|2.2|202|85XAA04|163.52|1.99|6.05
190|9.3|11|84XAA04|264.08|2.91|15.35
191|0|208|84XAA04|0|0|0
192|5.4|136|84XAA04|176.53|3.04|19.91
193|9|16|84XAA04|158.05|8.89|42.75
194|4.8|154|17XGA04|74.4|5.37|28.74
195|3.7|177|17XGA04|42.7|4.65|24.74
196|4.6|157|17XGA04|56.7|6.35|31.16
197|3|191|17XGA04|54.39|3.58|17.21
198|3.6|179|2XT4E04|73.69|3.67|18.59
199|0|208|2XT4E04|0|0|0
200|4|170|2XT4E04|89.89|4.26|19.1
201|0|208|2XT4E04|0|0|0
202|2|203|85XAA04|56.95|2.32|8.57
203|0|208|85XAA04|0|0|0
204|0|208|85XAA04|0|0|0
205|0|208|85XAA04|0|0|0
206|7.9|50|80XAA04|145.28|8.11|36.83
207|0|208|80XAA04|0|0|0
208|5.8|125|80XAA04|95.9|6.78|33.2
209|3.8|175|80XAA04|73.89|5.06|21.42
210|0|208|85XAA04|0|0|0
211|5.4|137|NM6|156.2|2.58|22.68
212|7.8|52|NM6|109.02|7.89|49.14
213|7.4|67|NM6|108.3|7.75|44.86
214|5.3|139|NM6|64.21|6.56|35.44
215|6.5|96|NM6|85.31|8.78|41.6
216|6.1|114|NM6|82.16|8.36|38.58
217|6.7|88|NM6|90.54|9.73|43.3
218|9.2|14|NM6|144.75|12.45|48.3
219|0|208|NM6|0|0|0
220|7.6|58|NM6|150.73|8.76|33.34
221|7.7|57|NM6|143.38|8.3|35.61
222|8.3|34|NM6|156.92|14.59|35.48
223|4.4|163|NM6|127.51|6.89|15.95
224|3.6|180|NM6|121.8|5.47|12.87
225|5.5|134|NM6|162.25|5.06|19.8
226|6.2|106|NM6|131.39|6.1|29.06
227|7.3|70|NM6|132.85|7.16|34.13
228|6.4|98|NM6|102.94|7.3|35.12
229|6.2|107|NM6|104.89|7.57|32.86
230|5.9|122|NM6|99.9|6.92|32.97
231|6.6|93|NM6|195.8|4.41|22.03
232|8.3|35|NM6|230.06|3.61|22.2
233|8.2|41|NM6|171.39|5.95|36.18
234|6.4|99|NM6|156.82|4.67|28.08
235|6.4|100|NM6|159.61|4.9|26.56
236|7.6|59|NM6|171.01|5.95|30.97
237|8.3|36|NM6|171.27|5.96|36.62
238|8.4|31|NM6|166.89|5.56|40.64
239|8.4|32|NM6|185.93|4.32|33.18
240|7.3|71|NM6|184.23|4.36|26.83
241|4.2|166|NM6|148.5|2.18|16.22
242|8.3|37|NM6|182.49|6.95|33.62
243|4.6|158|NM6|149.72|4.19|18.34
244|3.2|187|NM6|133.16|3.14|11.28
245|7.3|72|NM6|193.51|8.47|20.9
246|6.2|108|NM6|167.87|5.83|21.78
247|5.5|135|NM6|157.3|4.61|20.83
248|5.1|144|NM6|150.34|4.05|20.21
249|6.3|103|NM6|166.26|5.29|23.86
250|5.3|140|NM6|147.44|4.02|22.33
251|8.9|20|NM6|183.06|7.07|35.71
252|8.1|43|NM6|227.69|3.51|21.67
